Category,Representative,Period,Local_Production (%),Import_Dependence (%)
Металлы,Сталь,2015-Q1,28.0,72.0
Металлы,Сталь,2015-Q2,29.718721524463945,70.28127847553606
Металлы,Сталь,2015-Q3,31.437443048927875,68.56255695107212
Металлы,Сталь,2015-Q4,33.15616457339182,66.84383542660818
Металлы,Сталь,2016-Q1,34.874886097855764,65.12511390214424
Металлы,Сталь,2016-Q2,36.5936076223197,63.4063923776803
Металлы,Сталь,2016-Q3,38.31232914678364,61.68767085321636
Металлы,Сталь,2016-Q4,40.031050671247584,59.968949328752416
Металлы,Сталь,2017-Q1,41.74977219571152,58.25022780428848
Металлы,Сталь,2017-Q2,43.46849372017546,56.53150627982454
Металлы,Сталь,2017-Q3,45.187215244639404,54.812784755360596
Металлы,Сталь,2017-Q4,46.90593676910334,53.09406323089666
Металлы,Сталь,2018-Q1,48.62465829356728,51.37534170643272
Металлы,Сталь,2018-Q2,50.343379818031224,49.656620181968776
Металлы,Сталь,2018-Q3,52.06210134249516,47.93789865750484
Металлы,Сталь,2018-Q4,53.7808228669591,46.2191771330409
Металлы,Сталь,2019-Q1,55.49954439142304,44.50045560857696
Металлы,Сталь,2019-Q2,57.21826591588698,42.78173408411302
Металлы,Сталь,2019-Q3,58.93698744035092,41.06301255964908
Металлы,Сталь,2019-Q4,60.65570896481486,39.34429103518514
Металлы,Сталь,2020-Q1,62.3744304892788,37.6255695107212
Металлы,Сталь,2020-Q2,64.09315201374274,35.90684798625726
Металлы,Сталь,2020-Q3,65.81187353820668,34.18812646179332
Металлы,Сталь,2020-Q4,67.53059506267061,32.46940493732938
Металлы,Сталь,2021-Q1,69.24931658713456,30.750683412865442
Металлы,Сталь,2021-Q2,70.9680381115985,29.031961888401497
Металлы,Сталь,2021-Q3,72.68675963606245,27.31324036393756
Металлы,Сталь,2021-Q4,74.40548116052638,25.594518839473622
Металлы,Сталь,2022-Q1,76.12420268499032,23.875797315009677
Металлы,Сталь,2022-Q2,77.84292420945425,22.15707579054574
Металлы,Сталь,2022-Q3,79.5616457339182,20.438354266081802
Металлы,Сталь,2022-Q4,81.28036725838214,18.719632741617858
Металлы,Сталь,2023-Q1,82.99908878284609,17.00091121715392
Металлы,Сталь,2023-Q2,84.71781030731002,15.282189692689983
Металлы,Сталь,2023-Q3,86.43653183177396,13.563468168226038
Металлы,Сталь,2023-Q4,88.15525335623789,11.8447466437621
Металлы,Медь,2015-Q1,24.0,76.0
Металлы,Медь,2015-Q2,25.24747441371956,74.75252558628044
Металлы,Медь,2015-Q3,26.494948827439117,73.50505117256088
Металлы,Медь,2015-Q4,27.742423241158676,72.25757675884132
Металлы,Медь,2016-Q1,28.989897654878234,71.01010234512177
Металлы,Медь,2016-Q2,30.237372068597807,69.76262793140219
Металлы,Медь,2016-Q3,31.484846482317366,68.51515351768263
Металлы,Медь,2016-Q4,32.732320896036924,67.26767910396308
Металлы,Медь,2017-Q1,33.97979530975648,66.02020469024352
Металлы,Медь,2017-Q2,35.22726972347604,64.77273027652396
Металлы,Медь,2017-Q3,36.4747441371956,63.5252558628044
Металлы,Медь,2017-Q4,37.722218550915166,62.277781449084834
Металлы,Медь,2018-Q1,38.969692964634724,61.030307035365276
Металлы,Медь,2018-Q2,40.21716737835428,59.78283262164572
Металлы,Медь,2018-Q3,41.46464179207385,58.53535820792615
Металлы,Медь,2018-Q4,42.71211620579341,57.28788379420659
Металлы,Медь,2019-Q1,43.959590619512966,56.040409380487034
Металлы,Медь,2019-Q2,45.207065033232524,54.792934966767476
Металлы,Медь,2019-Q3,46.45453944695208,53.54546055304792
Металлы,Медь,2019-Q4,47.70201386067165,52.29798613932835
Металлы,Медь,2020-Q1,48.94948827439121,51.05051172560879
Металлы,Медь,2020-Q2,50.196962688110766,49.803037311889234
Металлы,Медь,2020-Q3,51.44443710183033,48.55556289816967
Металлы,Медь,2020-Q4,52.69191151554989,47.30808848445011
Металлы,Медь,2021-Q1,53.93938592926945,46.06061407073055
Металлы,Медь,2021-Q2,55.18686034298901,44.81313965701099
Металлы,Медь,2021-Q3,56.434334756708566,43.565665243291434
Металлы,Медь,2021-Q4,57.68180917042813,42.31819082957187
Металлы,Медь,2022-Q1,58.92928358414769,41.07071641585231
Металлы,Медь,2022-Q2,60.17675799786725,39.82324200213275
Металлы,Медь,2022-Q3,61.424232411586814,38.575767588413186
Металлы,Медь,2022-Q4,62.67170682530637,37.32829317469363
Металлы,Медь,2023-Q1,63.91918123902593,36.08081876097407
Металлы,Медь,2023-Q2,65.16665565274549,34.83334434725451
Металлы,Медь,2023-Q3,66.41413006646505,33.58586993353495
Металлы,Медь,2023-Q4,67.66160448018462,32.338395519815386
Металлы,Чугун,2015-Q1,34.0,66.0
Металлы,Чугун,2015-Q2,34.91491425739562,65.08508574260438
Металлы,Чугун,2015-Q3,35.82982851479126,64.17017148520874
Металлы,Чугун,2015-Q4,36.74474277218688,63.25525722781312
Металлы,Чугун,2016-Q1,37.65965702958251,62.34034297041749
Металлы,Чугун,2016-Q2,38.574571286978134,61.425428713021866
Металлы,Чугун,2016-Q3,39.489485544373764,60.510514455626236
Металлы,Чугун,2016-Q4,40.404399801769394,59.595600198230606
Металлы,Чугун,2017-Q1,41.319314059165016,58.680685940834984
Металлы,Чугун,2017-Q2,42.234228316560646,57.765771683439354
Металлы,Чугун,2017-Q3,43.14914257395627,56.85085742604373
Металлы,Чугун,2017-Q4,44.0640568313519,55.9359431686481
Металлы,Чугун,2018-Q1,44.97897108874753,55.02102891125247
Металлы,Чугун,2018-Q2,45.89388534614315,54.10611465385685
Металлы,Чугун,2018-Q3,46.80879960353878,53.19120039646122
Металлы,Чугун,2018-Q4,47.72371386093441,52.27628613906559
Металлы,Чугун,2019-Q1,48.63862811833003,51.36137188166997
Металлы,Чугун,2019-Q2,49.55354237572566,50.44645762427434
Металлы,Чугун,2019-Q3,50.46845663312129,49.53154336687871
Металлы,Чугун,2019-Q4,51.383370890516915,48.616629109483085
Металлы,Чугун,2020-Q1,52.298285147912544,47.701714852087456
Металлы,Чугун,2020-Q2,53.213199405308174,46.786800594691826
Металлы,Чугун,2020-Q3,54.1281136627038,45.8718863372962
Металлы,Чугун,2020-Q4,55.043027920099426,44.956972079900574
Металлы,Чугун,2021-Q1,55.957942177495056,44.042057822504944
Металлы,Чугун,2021-Q2,56.87285643489068,43.12714356510932
Металлы,Чугун,2021-Q3,57.78777069228631,42.21222930771369
Металлы,Чугун,2021-Q4,58.70268494968194,41.29731505031806
Металлы,Чугун,2022-Q1,59.61759920707756,40.38240079292244
Металлы,Чугун,2022-Q2,60.53251346447319,39.46748653552681
Металлы,Чугун,2022-Q3,61.44742772186882,38.55257227813118
Металлы,Чугун,2022-Q4,62.36234197926444,37.63765802073556
Металлы,Чугун,2023-Q1,63.27725623666007,36.72274376333993
Металлы,Чугун,2023-Q2,64.1921704940557,35.8078295059443
Металлы,Чугун,2023-Q3,65.10708475145132,34.892915248548675
Металлы,Чугун,2023-Q4,66.02199900884696,33.978000991153046
Металлы,Алюминий,2015-Q1,31.0,69.0
Металлы,Алюминий,2015-Q2,32.28437830340823,67.71562169659177
